pool_index,token_id,literal,raw_vocab,category,component_ids,pool_source
1166,6565, interaction,▁interaction,OK,"(6565,)",random
1167,242, For,▁For,OK,"(242,)",random
1168,30512, phyto,▁phyto,OK,"(30512,)",random
1169,31865, Orientierung,▁Orientierung,OK,"(31865,)",random
1170,1367, box,▁box,OK,"(1367,)",random
1171,22154,albeit,albeit,OK,"(22154,)",random
1172,8017, tube,▁tube,OK,"(8017,)",random
1173,26293, poarta,▁poarta,OK,"(26293,)",random
1174,13709, pursuit,▁pursuit,OK,"(13709,)",random
1175,25625, versteh,▁versteh,OK,"(25625,)",random
1176,7777, Reg,▁Reg,OK,"(7777,)",random
1177,8870,sait,sait,OK,"(8870,)",random
1178,20226,modal,modal,OK,"(20226,)",random
1179,25393,schuld,schuld,OK,"(25393,)",random
1180,25767, luptă,▁luptă,OK,"(25767,)",random
1181,1017, common,▁common,OK,"(1017,)",random
1182,22667, aprobat,▁aprobat,OK,"(22667,)",random
1183,25817,klassischen,klassischen,OK,"(25817,)",random
1184,846, 2018,▁2018,OK,"(846,)",random
1185,13615, Norman,▁Norman,OK,"(13615,)",random
1186,13646, conducting,▁conducting,OK,"(13646,)",random
1187,27080, unveil,▁unveil,OK,"(27080,)",random
1188,27360, drizzle,▁drizzle,OK,"(27360,)",random
1189,13259,schließlich,schließlich,OK,"(13259,)",random
1190,28344, älter,▁älter,OK,"(28344,)",random
1191,25789, Techno,▁Techno,OK,"(25789,)",random
1192,30274, tug,▁tug,OK,"(30274,)",random
1193,13131, Asta,▁Asta,OK,"(13131,)",random
1194,747,line,line,OK,"(747,)",random
1195,25517, elevate,▁elevate,OK,"(25517,)",random
1196,13240,elia,elia,OK,"(13240,)",random
1197,1981,work,work,OK,"(1981,)",random
1198,11608, substitute,▁substitute,OK,"(11608,)",random
1199,14808,Adapt,Adapt,OK,"(14808,)",random
1200,16811,ов,ов,OK,"(16811,)",random
1201,30829,geschehen,geschehen,OK,"(30829,)",random
1202,27239, Supplement,▁Supplement,OK,"(27239,)",random
1203,26617,hundert,hundert,OK,"(26617,)",random
1204,3025, Form,▁Form,OK,"(3025,)",random
1205,15010, Flug,▁Flug,OK,"(15010,)",random
1206,19568,0000,0000,OK,"(19568,)",random
1207,16602, Rin,▁Rin,OK,"(16602,)",random
1208,25083,ем,ем,OK,"(25083,)",random
1209,25525, unbelievable,▁unbelievable,OK,"(25525,)",random
1210,22068, Polo,▁Polo,OK,"(22068,)",random
1211,4659, rose,▁rose,OK,"(4659,)",random
1212,16301, rezultate,▁rezultate,OK,"(16301,)",random
1213,16693, Egg,▁Egg,OK,"(16693,)",random
1214,22790, Eigenschaften,▁Eigenschaften,OK,"(22790,)",random
1215,22575, chanson,▁chanson,OK,"(22575,)",random
1216,19674, fixes,▁fixes,OK,"(19674,)",random
1217,12348, împotriv,▁împotriv,OK,"(12348,)",random
1218,5536, storm,▁storm,OK,"(5536,)",random
1219,22574, décoration,▁décoration,OK,"(22574,)",random
1220,28246, rasa,▁rasa,OK,"(28246,)",random
1221,24563,montag,montag,OK,"(24563,)",random
1222,16611,arhi,arhi,OK,"(16611,)",random
1223,28986, aggression,▁aggression,OK,"(28986,)",random
1224,4060,88,88,OK,"(4060,)",random
1225,14292, lightly,▁lightly,OK,"(14292,)",random
1226,3645, wild,▁wild,OK,"(3645,)",random
1227,13141,parmi,parmi,OK,"(13141,)",random
1228,4361, Fort,▁Fort,OK,"(4361,)",random
1229,14510, withdraw,▁withdraw,OK,"(14510,)",random
1230,6074, potrivit,▁potrivit,OK,"(6074,)",random
1231,22090, déclaré,▁déclaré,OK,"(22090,)",random
1232,22999,domain,domain,OK,"(22999,)",random
1233,25226, rave,▁rave,OK,"(25226,)",random
1234,22545, headset,▁headset,OK,"(22545,)",random
1235,25409,cosy,cosy,OK,"(25409,)",random
1236,14688, septembrie,▁septembrie,OK,"(14688,)",random
1237,21289, protéger,▁protéger,OK,"(21289,)",random
1238,29365,contested,contested,OK,"(29365,)",random
1239,23813, Wunder,▁Wunder,OK,"(23813,)",random
1240,16873, Investor,▁Investor,OK,"(16873,)",random
1241,26408,iterführende,iterführende,OK,"(26408,)",random
1242,11102,ibility,ibility,OK,"(11102,)",random
1243,31770,ewusst,ewusst,OK,"(31770,)",random
1244,10092, darf,▁darf,OK,"(10092,)",random
1245,17029, Nepal,▁Nepal,OK,"(17029,)",random
1246,17682,Sport,Sport,OK,"(17682,)",random
1247,19710,topic,topic,OK,"(19710,)",random
1248,24022, composant,▁composant,OK,"(24022,)",random
1249,16876, politiques,▁politiques,OK,"(16876,)",random
1250,24936, Textil,▁Textil,OK,"(24936,)",random
1251,7390, twin,▁twin,OK,"(7390,)",random
1252,4373, agents,▁agents,OK,"(4373,)",random
1253,9122,SH,SH,OK,"(9122,)",random
1254,25745, 1938,▁1938,OK,"(25745,)",random
1255,26963, disappoint,▁disappoint,OK,"(26963,)",random
1256,26182, correspondant,▁correspondant,OK,"(26182,)",random
1257,9051, witness,▁witness,OK,"(9051,)",random
1258,4307, accepted,▁accepted,OK,"(4307,)",random
1259,10525,uter,uter,OK,"(10525,)",random
1260,11044, dispute,▁dispute,OK,"(11044,)",random
1261,24398,opportunité,opportunité,OK,"(24398,)",random
1262,20452,SPEC,SPEC,OK,"(20452,)",random
1263,29134,Quelques,Quelques,OK,"(29134,)",random
1264,31003,collegiate,collegiate,OK,"(31003,)",random
1265,18170, medici,▁medici,OK,"(18170,)",random
1266,20294, Flowers,▁Flowers,OK,"(20294,)",random
1267,1545, written,▁written,OK,"(1545,)",random
1268,416, next,▁next,OK,"(416,)",random
1269,13184, installer,▁installer,OK,"(13184,)",random
1270,24378, Gilbert,▁Gilbert,OK,"(24378,)",random
1271,6761,lant,lant,OK,"(6761,)",random
1272,16052,verfahren,verfahren,OK,"(16052,)",random
1273,9852, bleibt,▁bleibt,OK,"(9852,)",random
1274,29877,Greeting,Greeting,OK,"(29877,)",random
1275,22221,flüge,flüge,OK,"(22221,)",random
1276,1171,ler,ler,OK,"(1171,)",random
1277,23447, inferior,▁inferior,OK,"(23447,)",random
1278,4981, yesterday,▁yesterday,OK,"(4981,)",random
1279,18757,lungul,lungul,OK,"(18757,)",random
1280,13147,nehm,nehm,OK,"(13147,)",random
1281,29390, Fundamental,▁Fundamental,OK,"(29390,)",random
1282,29643, relatii,▁relatii,OK,"(29643,)",random
1283,5726, wooden,▁wooden,OK,"(5726,)",random
1284,11221,gut,gut,OK,"(11221,)",random
1285,18565, Canal,▁Canal,OK,"(18565,)",random
1286,28907, Tropical,▁Tropical,OK,"(28907,)",random
1287,27926,intermédiaire,intermédiaire,OK,"(27926,)",random
1288,2876, bill,▁bill,OK,"(2876,)",random
1289,5883,radi,radi,OK,"(5883,)",random
1290,24371, edible,▁edible,OK,"(24371,)",random
1291,26701, verdient,▁verdient,OK,"(26701,)",random
1292,20028,iano,iano,OK,"(20028,)",random
1293,14471,ounded,ounded,OK,"(14471,)",random
1294,2462,ping,ping,OK,"(2462,)",random
1295,12849,nimmt,nimmt,OK,"(12849,)",random
1296,22519, prevalent,▁prevalent,OK,"(22519,)",random
1297,8631,nutri,nutri,OK,"(8631,)",random
1298,20743, grind,▁grind,OK,"(20743,)",random
1299,6760, SP,▁SP,OK,"(6760,)",random
1300,23821,Marea,Marea,OK,"(23821,)",random
1301,26112, domenii,▁domenii,OK,"(26112,)",random
1302,24670, révolution,▁révolution,OK,"(24670,)",random
1303,7687, universal,▁universal,OK,"(7687,)",random
1304,17744, simti,▁simti,OK,"(17744,)",random
1305,15932,abia,abia,OK,"(15932,)",random
1306,9878, zahlreiche,▁zahlreiche,OK,"(9878,)",random
1307,18070, Specific,▁Specific,OK,"(18070,)",random
1308,5689, keeps,▁keeps,OK,"(5689,)",random
1309,19670, Lehrer,▁Lehrer,OK,"(19670,)",random
1310,19897, positiv,▁positiv,OK,"(19897,)",random
1311,25410, Awareness,▁Awareness,OK,"(25410,)",random
1312,3485, counter,▁counter,OK,"(3485,)",random
1313,190, through,▁through,OK,"(190,)",random
1314,26483,IDA,IDA,OK,"(26483,)",random
1315,25027, wizard,▁wizard,OK,"(25027,)",random
1316,20963, fotografii,▁fotografii,OK,"(20963,)",random
1317,3483,rien,rien,OK,"(3483,)",random
1318,1903, pass,▁pass,OK,"(1903,)",random
1319,20815, noticeable,▁noticeable,OK,"(20815,)",random
1320,19392,größe,größe,OK,"(19392,)",random
1321,16818, Alba,▁Alba,OK,"(16818,)",random
1322,13768, physicians,▁physicians,OK,"(13768,)",random
1323,15850, niciun,▁niciun,OK,"(15850,)",random
1324,24361,183,183,OK,"(24361,)",random
1325,28185,kreuz,kreuz,OK,"(28185,)",random
1326,31898,flexion,flexion,OK,"(31898,)",random
1327,23566, Fahrer,▁Fahrer,OK,"(23566,)",random
1328,2749, older,▁older,OK,"(2749,)",random
1329,9004, capability,▁capability,OK,"(9004,)",random
1330,15221, Cruise,▁Cruise,OK,"(15221,)",random
1331,29707,modalité,modalité,OK,"(29707,)",random
1332,20722, magnitude,▁magnitude,OK,"(20722,)",random
1333,9001, jeunes,▁jeunes,OK,"(9001,)",random
1334,30988, Entspannung,▁Entspannung,OK,"(30988,)",random
1335,9184,ühl,ühl,OK,"(9184,)",random
1336,2216, Land,▁Land,OK,"(2216,)",random
1337,25874, Anchor,▁Anchor,OK,"(25874,)",random
1338,20235, Treasure,▁Treasure,OK,"(20235,)",random
1339,8721,amine,amine,OK,"(8721,)",random
1340,31595, genotyp,▁genotyp,OK,"(31595,)",random
1341,12542,égal,égal,OK,"(12542,)",random
1342,10606, weiteren,▁weiteren,OK,"(10606,)",random
1343,5748, tent,▁tent,OK,"(5748,)",random
1344,18108, Schon,▁Schon,OK,"(18108,)",random
1345,4590, outstanding,▁outstanding,OK,"(4590,)",random
1346,8286, intend,▁intend,OK,"(8286,)",random
1347,19151,soweit,soweit,OK,"(19151,)",random
1348,23601, hurry,▁hurry,OK,"(23601,)",random
1349,12851,pillar,pillar,OK,"(12851,)",random
1350,27332, 1929,▁1929,OK,"(27332,)",random
1351,3216,low,low,OK,"(3216,)",random
1352,14411, Aaron,▁Aaron,OK,"(14411,)",random
1353,3537,gle,gle,OK,"(3537,)",random
1354,15799, putere,▁putere,OK,"(15799,)",random
1355,12376, liegen,▁liegen,OK,"(12376,)",random
1356,21945, Ferrari,▁Ferrari,OK,"(21945,)",random
1357,31069, Canberra,▁Canberra,OK,"(31069,)",random
1358,919, turn,▁turn,OK,"(919,)",random
1359,26801, Untersuchung,▁Untersuchung,OK,"(26801,)",random
1360,30464, Blätter,▁Blätter,OK,"(30464,)",random
1361,22674,From,From,OK,"(22674,)",random
1362,19014, Alberta,▁Alberta,OK,"(19014,)",random
1363,10760, conditioning,▁conditioning,OK,"(10760,)",random
1364,459,uri,uri,OK,"(459,)",random
1365,4553, leg,▁leg,OK,"(4553,)",random
1366,10973, distribute,▁distribute,OK,"(10973,)",random
1367,17313, tolerance,▁tolerance,OK,"(17313,)",random
1368,14936, appointments,▁appointments,OK,"(14936,)",random
1369,10903, Tam,▁Tam,OK,"(10903,)",random
1370,22990,yama,yama,OK,"(22990,)",random
1371,314, 4,▁4,OK,"(314,)",random
1372,31283,métrage,métrage,OK,"(31283,)",random
1373,28419,Numai,Numai,OK,"(28419,)",random
1374,18372, Boc,▁Boc,OK,"(18372,)",random
1375,8220, Resort,▁Resort,OK,"(8220,)",random
1376,6164, newly,▁newly,OK,"(6164,)",random
1377,18330,hog,hog,OK,"(18330,)",random
1378,5236,read,read,OK,"(5236,)",random
1379,28402, définition,▁définition,OK,"(28402,)",random
1380,27932, dritte,▁dritte,OK,"(27932,)",random
1381,27637,ässe,ässe,OK,"(27637,)",random
1382,31026,default,default,OK,"(31026,)",random
1383,22652, splendid,▁splendid,OK,"(22652,)",random
1384,18296,anță,anță,OK,"(18296,)",random
1385,10385, betting,▁betting,OK,"(10385,)",random
1386,15207, prom,▁prom,OK,"(15207,)",random
1387,19044, herzlich,▁herzlich,OK,"(19044,)",random
1388,13122, répondre,▁répondre,OK,"(13122,)",random
1389,14249, tranquil,▁tranquil,OK,"(14249,)",random
1390,23683, limbi,▁limbi,OK,"(23683,)",random
1391,6256, pest,▁pest,OK,"(6256,)",random
1392,19640, Colour,▁Colour,OK,"(19640,)",random
1393,18726, Florence,▁Florence,OK,"(18726,)",random
1394,14973,written,written,OK,"(14973,)",random
1395,23436, compilation,▁compilation,OK,"(23436,)",random
1396,483, change,▁change,OK,"(483,)",random
1397,17967,pick,pick,OK,"(17967,)",random
1398,26176,Known,Known,OK,"(26176,)",random
1399,2587, Ihnen,▁Ihnen,OK,"(2587,)",random
1400,16501,doubtedly,doubtedly,OK,"(16501,)",random
1401,2967, prepare,▁prepare,OK,"(2967,)",random
1402,5932, sequence,▁sequence,OK,"(5932,)",random
1403,7428,bling,bling,OK,"(7428,)",random
1404,10064,used,used,OK,"(10064,)",random
1405,24171, Arbeitgeber,▁Arbeitgeber,OK,"(24171,)",random
1406,25258, Monaco,▁Monaco,OK,"(25258,)",random
1407,13171, Walter,▁Walter,OK,"(13171,)",random
