pool_index,token_id,literal,raw_vocab,category,component_ids,objective,constraint_violation,feasible,low_gain_mean,low_positive_gain,low_gain_q10,low_coverage,high_gain_q05,high_gain_mean,global_drop_rate,range_ratio,spearman,violation_low_gain,violation_low_coverage,violation_high_tail,violation_drop_rate,violation_range,violation_rank
63,23832, Regal,▁Regal,OK,"(23832,)",0.04488765647013983,0.614210348044123,False,0.021930832415819168,0.021970989803473156,0.0010126829147338867,0.4583333333333333,-0.018322405219078065,-0.008358299732208252,0.020833333333333332,0.8604702520365725,0.9705882352941176,0.2689722528060277,0.34523809523809523,0.0,0.0,0.0,0.0
64,30828,DOWN,DOWN,OK,"(30828,)",0.045575575530529024,0.6143928009366231,False,0.020139644543329876,0.020575575530529022,-0.00012056231498718234,0.5,-0.019646701216697694,-0.00871878614028295,0.020833333333333332,0.8933478026584336,0.9823529411764707,0.32867851522233743,0.28571428571428564,0.0,0.0,0.0,0.0
65,22276,rij,rij,OK,"(22276,)",0.04506310224533081,0.6191221811468638,False,0.019997763137022655,0.02006310224533081,0.001835829019546509,0.5,-0.016056549549102784,-0.007521835466225942,0.0,0.8759763533209733,0.9852941176470588,0.33340789543257815,0.28571428571428564,0.0,0.0,0.0,0.0
66,1041, action,▁action,OK,"(1041,)",0.044970638553301495,0.622890388681775,False,0.022053971886634827,0.022053971886634827,0.006287813186645509,0.4583333333333333,-0.020255693793296815,-0.006677945454915364,0.041666666666666664,0.8689504611383378,0.9735294117647059,0.2648676037788391,0.34523809523809523,0.012784689664840747,0.0,0.0,0.0
67,25300, farther,▁farther,OK,"(25300,)",0.04587984035412471,0.6243967636237067,False,0.02285489688316981,0.02296317368745804,0.0045911729335784916,0.4583333333333333,-0.02081977128982544,-0.013358709712823233,0.041666666666666664,0.8756699903969233,0.9705882352941176,0.2381701038943396,0.34523809523809523,0.04098856449127192,0.0,0.0,0.0
68,15501, Bewegung,▁Bewegung,OK,"(15501,)",0.044211474557717644,0.6291714485675569,False,0.023267713685830433,0.023378141224384308,0.005423182249069214,0.4166666666666667,-0.018159765005111694,-0.009296720226605734,0.0,0.8607817094310148,0.9794117647058824,0.2244095438056522,0.4047619047619047,0.0,0.0,0.0,0.0
69,22208, déplac,▁déplac,OK,"(22208,)",0.04436496098836264,0.630294951181563,False,0.021448294321695965,0.021448294321695965,0.0030083656311035156,0.4583333333333333,-0.015177649259567261,-0.007753041883309682,0.0,0.8432405987916997,0.961764705882353,0.2850568559434678,0.34523809523809523,0.0,0.0,0.0,0.0
70,9692,kos,kos,OK,"(9692,)",0.04510369598865509,0.6342741142189692,False,0.021579047044118244,0.022187029321988423,-0.0018702298402786253,0.4583333333333333,-0.020166751742362977,-0.008407846093177795,0.041666666666666664,0.8600923349601933,0.9705882352941176,0.28069843186272514,0.34523809523809523,0.008337587118148818,0.0,0.0,0.0
71,25688, correspondent,▁correspondent,OK,"(25688,)",0.046011803299188615,0.635067706779828,False,0.019519397368033726,0.021011803299188614,-0.005728089809417724,0.5,-0.017286989092826843,-0.01001995305220286,0.020833333333333332,0.8588960606853313,0.9676470588235294,0.34935342106554246,0.28571428571428564,0.0,0.0,0.0,0.0
72,7411, grip,▁grip,OK,"(7411,)",0.04951601872841517,0.6357201276317473,False,0.024516018728415172,0.024516018728415172,0.00438297986984253,0.5,-0.02334412932395935,-0.01059972494840622,0.041666666666666664,0.831884406775553,0.9823529411764707,0.18279937571949423,0.28571428571428564,0.1672064661979675,0.0,0.0,0.0
