rank,pool_sequence,component_token_ids,trigger,objective,constraint_violation,feasible,low_gain_mean,low_positive_gain,low_gain_q10,low_coverage,high_gain_q05,high_gain_mean,global_drop_rate,range_ratio,spearman,violation_low_gain,violation_low_coverage,violation_high_tail,violation_drop_rate,violation_range,violation_rank
359,"0,136,35,215,153","30332,2824,14797,6520,23158",lucrarea....graphicrib pierdere,0.11293336302042008,0.0,True,0.06293336302042007,0.06293336302042007,0.04690253734588623,1.0,-0.016236001253128053,-0.00031356265147527057,0.0,0.8125891001644665,0.9823529411764707,0.0,0.0,0.0,0.0,0.0,0.0
360,"0,133,35,215,158","30332,121,14797,6520,17319","lucrarea""graphicribenţă",0.11292011092106502,0.0,True,0.06292011092106502,0.06292011092106502,0.04497370719909668,1.0,-0.013519525527954102,0.002537031968434652,0.0,0.8131523478986042,0.9794117647058824,0.0,0.0,0.0,0.0,0.0,0.0
361,"0,136,41,200,169","30332,2824,3852,3404,680",lucrarea.... repware sie,0.11292003889878591,0.0,True,0.0629200388987859,0.0629200388987859,0.04240552186965942,1.0,-0.019266292452812195,-0.003764219582080841,0.020833333333333332,0.8009318712614981,0.9794117647058824,0.0,0.0,0.0,0.0,0.0,0.0
362,"0,200,8,147,159","30332,3404,17682,18956,3077",lucrareawareSportriusige,0.11287246445814769,0.0,True,0.06287246445814769,0.06287246445814769,0.043838560581207275,1.0,-0.01599243879318237,0.0015564709901809692,0.020833333333333332,0.8325460704149978,0.9852941176470588,0.0,0.0,0.0,0.0,0.0,0.0
363,"0,169,105,147,90","30332,680,10924,18956,23060",lucrarea sieissentrius răspunde,0.11287127236525218,0.0,True,0.06287127236525218,0.06287127236525218,0.04383935928344727,1.0,-0.017283046245574953,-0.004157982766628265,0.020833333333333332,0.7721733543297556,0.961764705882353,0.0,0.0,0.0,0.0,0.0,0.0
364,"0,31,105,215,169","30332,8221,10924,6520,680",lucrareaimageissentrib sie,0.11282180299361547,0.0,True,0.06282180299361546,0.06282180299361546,0.04686833024024963,1.0,-0.013323694467544556,0.003191868464152018,0.020833333333333332,0.8087254846944741,0.988235294117647,0.0,0.0,0.0,0.0,0.0,0.0
365,"0,129,35,215,158","30332,17,14797,6520,17319",lucrareatgraphicribenţă,0.11278392672538758,0.0,True,0.06278392672538757,0.06278392672538757,0.044241303205490114,1.0,-0.012871086597442627,0.004497013986110687,0.0,0.8351292756597088,0.9794117647058824,0.0,0.0,0.0,0.0,0.0,0.0
366,"0,149,100,147,169","30332,18457,14338,18956,680",lucrarea varsta surroundingsrius sie,0.11275109698375066,0.0,True,0.06275109698375066,0.06275109698375066,0.03788954019546509,1.0,-0.01890975534915924,-0.001995821793874105,0.020833333333333332,0.7880140696922006,0.9823529411764707,0.0,0.0,0.0,0.0,0.0,0.0
367,"0,133,100,147,180","30332,121,14338,18956,31797","lucrarea"" surroundingsriusscrisă",0.1127333049972852,0.0,True,0.0627333049972852,0.0627333049972852,0.042131590843200686,1.0,-0.01729663610458374,-3.503262996673584e-05,0.0,0.8341299875733517,0.9794117647058824,0.0,0.0,0.0,0.0,0.0,0.0
368,"0,133,134,215,169","30332,121,28448,6520,680","lucrarea"" senzatirib sie",0.11270750612020493,0.0,True,0.06270750612020493,0.06270750612020493,0.04583263397216797,1.0,-0.013187721371650696,0.0032463123401006064,0.0,0.8147263076830094,0.9852941176470588,0.0,0.0,0.0,0.0,0.0,0.0
