pool_index,token_id,literal,raw_vocab,category,component_ids,objective,constraint_violation,feasible,low_gain_mean,low_positive_gain,low_gain_q10,low_coverage,high_gain_q05,high_gain_mean,global_drop_rate,range_ratio,spearman,violation_low_gain,violation_low_coverage,violation_high_tail,violation_drop_rate,violation_range,violation_rank
92,18158, imperative,▁imperative,OK,"(18158,)",0.0460538879036903,0.6676651972626881,False,0.0185414726535479,0.0210538879036903,-0.0098050832748413,0.5,-0.0186988830566406,-0.0075687865416208,0.0208333333333333,0.8904994533864836,0.9352941176470588,0.3819509115484025,0.2857142857142856,0.0,0.0,0.0,0.0
93,19486, vitesse,▁vitesse,OK,"(19486,)",0.0439829627672831,0.6704872673939143,False,0.022963107873996,0.0231496294339497,0.0005441516637802,0.4166666666666667,-0.0206232458353042,-0.0095638781785964,0.0416666666666666,0.839111298971851,0.9529411764705882,0.2345630708667967,0.4047619047619047,0.0311622917652128,0.0,0.0,0.0
94,18852,kap,kap,OK,"(18852,)",0.0530977353453636,0.6707821223470898,False,0.0239310686786969,0.0239310686786969,0.0037039279937744,0.5833333333333334,-0.0260363548994064,-0.0080527563889821,0.0416666666666666,0.8322136948163686,0.9705882352941176,0.2022977107101016,0.1666666666666665,0.3018177449703216,0.0,0.0,0.0
95,3169, trouble,▁trouble,OK,"(3169,)",0.0469236706693967,0.6711428747290656,False,0.0191901102662086,0.0198403373360633,-0.0033879578113555,0.5416666666666666,-0.0216924548149108,-0.0094583109021186,0.0416666666666666,0.8975388536345534,0.9588235294117649,0.360329657793045,0.2261904761904762,0.0846227407455444,0.0,0.0,0.0
96,11564,tata,tata,OK,"(11564,)",0.0436611108481884,0.6722777211476884,False,0.0205907920996348,0.0207444441815217,0.0015491247177124,0.4583333333333333,-0.0202679872512817,-0.0081756487488746,0.0416666666666666,0.8693012077059576,0.9823529411764708,0.3136402633455064,0.3452380952380952,0.0133993625640867,0.0,0.0,0.0
97,31302, reacți,▁reacți,OK,"(31302,)",0.0435906750460465,0.6735347646569447,False,0.0183653856317202,0.0185906750460465,0.0009776413440704,0.5,-0.0178961217403411,-0.0101337482531865,0.0,0.8797960482810678,0.988235294117647,0.3878204789426591,0.2857142857142856,0.0,0.0,0.0,0.0
98,9850, depict,▁depict,OK,"(9850,)",0.0429070343573888,0.6752575115552024,False,0.021885131796201,0.0220737010240554,0.0066516935825347,0.4166666666666667,-0.0189790695905685,-0.0056824932495752,0.0208333333333333,0.950094799603218,0.973529411764706,0.2704956067932976,0.4047619047619047,0.0,0.0,0.0,0.0
99,7693, graphic,▁graphic,OK,"(7693,)",0.0537054486572742,0.6759345732511035,False,0.0264433982471625,0.0266221153239409,0.0113163769245147,0.5416666666666666,-0.0216238141059875,-0.0102384984493255,0.0625,0.8358773137289879,0.9794117647058824,0.1185533917612498,0.2261904761904762,0.0811907052993774,0.2499999999999999,0.0,0.0
100,14338, surroundings,▁surroundings,OK,"(14338,)",0.0448472196857134,0.6768283867646775,False,0.0218804876009623,0.0219305530190467,0.006432032585144,0.4583333333333333,-0.0212187975645065,-0.0084123387932777,0.0416666666666666,0.9005971568378252,0.9911764705882352,0.2706504133012559,0.3452380952380952,0.0609398782253264,0.0,0.0,0.0
101,10176, Mach,▁Mach,OK,"(10176,)",0.0423550573488076,0.6774504693254592,False,0.0236050573488076,0.0236050573488076,0.0040887534618377,0.375,-0.0182020783424377,-0.007957324385643,0.0208333333333333,0.8416536712644777,0.9794117647058824,0.2131647550397449,0.4642857142857142,0.0,0.0,0.0,0.0
102,26182, correspondant,▁correspondant,OK,"(26182,)",0.045796912908554,0.6800613592541406,False,0.0212985103329022,0.0228802462418874,-0.0062534928321838,0.4583333333333333,-0.0208954721689224,-0.0049014538526535,0.0416666666666666,0.8531154577578479,0.9147058823529411,0.2900496555699242,0.3452380952380952,0.0447736084461211,0.0,0.0,0.0
103,31149, dicke,▁dicke,OK,"(31149,)",0.0439983054995536,0.6811315606510828,False,0.0206675653656323,0.021081638832887,0.0015958964824676,0.4583333333333333,-0.0204962462186813,-0.0120393062631289,0.0416666666666666,0.8650865369125641,0.9588235294117649,0.3110811544789208,0.3452380952380952,0.0248123109340667,0.0,0.0,0.0
104,15091,spieler,spieler,OK,"(15091,)",0.043377735465765,0.6813570499893219,False,0.0199164313574632,0.0204610687990983,0.0007377922534942,0.4583333333333333,-0.0145983040332794,-0.0041607071955998,0.0,0.8632538397833831,0.976470588235294,0.3361189547512266,0.3452380952380952,0.0,0.0,0.0,0.0
105,10924,issent,issent,OK,"(10924,)",0.0441918467481931,0.6826723672094799,False,0.0198769718408584,0.0212751800815264,-0.00636847615242,0.4583333333333333,-0.0153585076332092,-0.0069697126746177,0.0208333333333333,0.8434881437394015,0.9323529411764706,0.3374342719713846,0.3452380952380952,0.0,0.0,0.0,0.0
106,14385, Freunde,▁Freunde,OK,"(14385,)",0.0433170770605405,0.6835762900965554,False,0.0224837437272071,0.0224837437272071,0.0070877432823181,0.4166666666666667,-0.0205654501914978,-0.0097534582018852,0.0416666666666666,0.866847679889416,0.9823529411764708,0.2505418757597605,0.4047619047619047,0.0282725095748901,0.0,0.0,0.0
107,798, moment,▁moment,OK,"(798,)",0.0429079527656237,0.6837679336941431,False,0.0198441048463185,0.019991286098957,0.0031441420316696,0.4583333333333333,-0.0191174536943435,-0.0107929383714993,0.0208333333333333,0.8936122519851646,0.9823529411764708,0.3385298384560479,0.3452380952380952,0.0,0.0,0.0,0.0
