rank,pool_sequence,component_token_ids,trigger,objective,constraint_violation,feasible,low_gain_mean,low_gain_q10,high_gain_q05,high_gain_mean,displacement_q05,displacement_q05_mean_modes,compactness_loss,compact_radius_q95,triggered_pairwise_similarity,center_norm,local_uniqueness_lower_bound,violation_repulsion,violation_compact_radius,violation_high_tail,violation_low_gain,violation_local_uniqueness
818,"0,240,173,156,98","30332,16145,19845,6872,9850",lucrarea earthquakeAicieşti depict,0.1683965716281013,8.884647086452386,False,0.24461234991304792,0.21651184869128498,0.0018522656446858965,0.05974268409864399,0.3119997198254276,0.3143728843147047,0.15243155656989327,0.4667756332720895,0.8426512964439812,0.9206348045941489,-0.15477591344666186,0.10857222907020674,0.03727918504908772,0.0,0.0,8.738795672333092
819,"0,33,67,16,240","30332,25803,25300,20538,16145",lucrarea Sauce farther trage earthquake,0.15813214108297857,8.889262470423276,False,0.23945071743163704,0.20769406134425333,0.0021205485083827247,0.05729375903495363,0.3069070573183819,0.3088917224710301,0.16263715269731693,0.4617094335887168,0.8321164875382535,0.9150753232945816,-0.15480237627033488,0.12312269337605161,0.026020963530481753,0.0,0.0,8.740118813516743
820,"0,205,12,214,248","30332,24903,12337,13525,6148",lucrarea dispus mobilityără mici,0.14254744520238097,8.907102755131882,False,0.2290059977816349,0.20389339208441482,0.0017153709371606207,0.05282985204432019,0.3239039469250412,0.3308469853670895,0.1729171051585079,0.4792545947822784,0.8215049237073467,0.9094409793062396,-0.15535064785723718,0.07456015164273934,0.06501021062728528,0.0,0.0,8.767532392861858
821,"0,190,195,229,64","30332,11733,12743,3147,30828",lucrareausion Smartphone 300DOWN,0.12958766859784251,8.908063524444863,False,0.21819237350127738,0.18516357733509448,0.0019025587708466963,0.05407138501979509,0.3265673479891722,0.3283665262557802,0.17720940980686972,0.48196877533251364,0.8170741576187152,0.9070780507724405,-0.15540142734334145,0.0669504343166508,0.0710417229611414,0.0,0.0,8.770071367167072
822,"62,240,195,214,195","23226,16145,12743,13525,12743", imobil earthquake Smartphoneără Smartphone,0.15561613821427933,8.908404608945418,False,0.2391222292577293,0.20135024809635035,-0.0033992212577518494,0.053823004931148936,0.3251224362509336,0.3496497195548998,0.16701218208689994,0.4805128276836384,0.8276003281683614,0.9126816629652971,-0.15539039143270478,0.07107875356876102,0.06780628374141864,0.0,0.0,8.769519571635238
823,"29,240,195,214,195","28935,16145,12743,13525,12743", Squad earthquake Smartphoneără Smartphone,0.16509543123224443,8.911689575349795,False,0.24730999758739888,0.20260361403534677,0.0016953076510274447,0.05969918879943181,0.31983742973157214,0.3451717080505136,0.1644291327103089,0.47522646937786395,0.8302667017183908,0.9140956554374882,-0.1553890396462918,0.08617877219550811,0.05605882083969763,0.0,0.0,8.769451982314589
824,"0,149,173,214,240","30332,18457,19845,13525,16145",lucrarea varstaAiciără earthquake,0.16494927760120326,8.927722285316275,False,0.24502791541867874,0.21718978677865458,0.002145233401481922,0.058875541790333365,0.3227854262180584,0.3259864255258105,0.16015727563495097,0.4785173171067051,0.8346763606348894,0.9164293340814932,-0.1557318908886467,0.07775592509126168,0.06337181579267795,0.0,0.0,8.786594544432335
825,"0,240,33,16,61","30332,16145,25803,20538,18837",lucrarea earthquake Sauce trage manger,0.16995267943798054,8.93413274347722,False,0.24679231339003227,0.2145837454863318,0.0020697820057356485,0.060797034705836105,0.31064847010984903,0.31470533846137916,0.15367926790410347,0.4663555526762499,0.8413633363570545,0.919956918608636,-0.15570708256640087,0.11243294254328844,0.03634567261388863,0.0,0.0,8.785354128320042
826,"141,33,195,214,195","25205,25803,12743,13525,12743",izeze Sauce Smartphoneără Smartphone,0.13254049795272219,8.938961489259775,False,0.22435038863069753,0.17372634341660786,0.001796706459881836,0.05240959307811868,0.3271692729379935,0.35966111723653515,0.1836197813559507,0.483169681673825,0.8104569998906316,0.9035376132978911,-0.1560004087358315,0.06523064874858986,0.07371040371961111,0.0,0.0,8.800020436791574
827,"0,44,67,16,240","30332,15843,25300,20538,16145",lucrarea shaft farther trage earthquake,0.15760634202391563,8.942173352713935,False,0.23978293616232796,0.2101593072024004,0.002100427987036896,0.05622376670224849,0.3162390838403625,0.3186731389567169,0.16435318827682466,0.47216810650741187,0.83034509597231,0.914137195241051,-0.1559290226670494,0.09645976045610714,0.04926245890535968,0.0,0.0,8.796451133352468
828,"35,205,195,214,187","14797,24903,12743,13525,20719",graphic dispus Smartphoneără apărut,0.12831052829301692,8.954041759488323,False,0.21916397630956874,0.1760903370178382,0.0014434198664895815,0.05127800437447691,0.3459650948862132,0.37035466018996716,0.18170689603310364,0.50248279538567,0.812431591191635,0.904595547173927,-0.1565177004994568,0.011528300325105118,0.1166284341903777,0.0,0.0,8.82588502497284
829,"110,240,12,214,240","24243,16145,12337,13525,16145", événements earthquake mobilityără earthquake,0.13318107529241774,8.95707422288143,False,0.22403006086069455,0.18265275005421475,0.0015486599390208801,0.049265188898289014,0.32650824750464735,0.3399613671733778,0.18169797113655362,0.4828474590370838,0.8124408039880737,0.9046004802471898,-0.15633921153243646,0.06711929284386464,0.07299435341574179,0.0,0.0,8.816960576621822
830,"0,240,206,214,99","30332,16145,17140,13525,7693",lucrarea earthquakeligaără graphic,0.16671847147815894,8.95787729285992,False,0.24633361455699243,0.2196772371272515,0.0019021558415091289,0.0580727212721202,0.30024475086834745,0.30585679236337454,0.159230286157667,0.4562800273075295,0.8356332529985373,0.9169349561677388,-0.15603527643918202,0.14215785466186437,0.013955616238954372,0.0,0.0,8.801763821959101
831,"0,205,67,214,214","30332,24903,25300,13525,13525",lucrarea dispus fartherărăără,0.13907953163686237,8.961120696027606,False,0.2255477350432611,0.20060270000894942,0.0016739189309158632,0.05328906298765035,0.3233284318278655,0.32713617934090156,0.17293640681279743,0.4797064686433226,0.8214849994190478,0.9094303674208392,-0.1563780368154571,0.07620448049181272,0.06601437476293912,0.0,0.0,8.818901840772854
832,"251,240,195,214,45","694,16145,12743,13525,25231", fun earthquake Smartphoneărăffentlichkeit,0.16821043157054827,8.965221734716234,False,0.2488978097032325,0.20933073974479702,0.002112280949667028,0.05658033900188248,0.32509953495230237,0.35436694480127534,0.16137475626536846,0.48157763546452576,0.8334196064357486,0.9157648408486927,-0.15647810051222338,0.07114418585056459,0.07017252325450166,0.0,0.0,8.823905025611168
833,"0,240,39,214,240","30332,16145,2951,13525,16145",lucrarea earthquakechesără earthquake,0.17186950319370034,8.965521856607296,False,0.24861131333175515,0.22252400734444902,0.0020482396149402947,0.060585816849727726,0.3174434445358825,0.32100501020612343,0.15348362027610962,0.47383420889688405,0.8415652951988546,0.9200632476758814,-0.15639076436100152,0.09301872989747845,0.0529649086597423,0.0,0.0,8.819538218050075
834,"0,240,130,214,197","30332,16145,15799,13525,2266",lucrarea earthquake putereără24,0.1673066065053621,8.96902517524038,False,0.24506112573615746,0.21884073451931968,0.0019317387861053192,0.05778320216134126,0.29722872481330365,0.30845686177899556,0.1555090384615907,0.4534408023308344,0.8394745409428741,0.918961893409302,-0.15621207751753075,0.15077507196198953,0.007646227401854179,0.0,0.0,8.810603875876536
835,"0,240,254,214,187","30332,16145,28995,13525,20719",lucrarea earthquakefreiheitără apărut,0.1597818873802432,8.99344161709504,False,0.24157870640689674,0.2033306718164753,0.0019385289334123757,0.05668201994040884,0.30945689568488466,0.3135586787151434,0.16359363805330707,0.4662851928594692,0.831129147815941,0.914552547395005,-0.15682829717458452,0.11583744090032949,0.036189317465487036,0.0,0.0,8.841414858729225
836,"251,33,195,214,187","694,25803,12743,13525,20719", fun Sauce Smartphoneără apărut,0.14630005416688233,9.003620680544039,False,0.23395594639287723,0.1811974447564787,0.001962427686738311,0.05465161766251408,0.33238107157807656,0.3705172608896738,0.1753117844519898,0.48968300037363816,0.8190329966947202,0.9081234583183115,-0.1573019287955616,0.050339795491209774,0.08818444527475143,0.0,0.0,8.865096439778078
837,"0,162,195,104,195","30332,5290,12743,15091,12743",lucrareaizat Smartphonespieler Smartphone,0.16506239825854924,9.003877398495709,False,0.24396570986529642,0.21156443426226915,0.0019481762110061475,0.059611642578587774,0.31371277666253494,0.32629236447047966,0.15780662321349437,0.47079265118281793,0.8371028405538122,0.9177109440267701,-0.157079874520283,0.10367778096418583,0.046205891517373164,0.0,0.0,8.85399372601415
838,"108,240,195,214,106","30122,16145,12743,13525,14385", Angehörige earthquake Smartphoneără Freunde,0.16886871037554005,9.005240236549016,False,0.24842554973008166,0.2105264586785752,0.0015931767349544436,0.057985444738616075,0.3310074192575625,0.3470117660960183,0.15911367870908322,0.4883236598876204,0.8357536219777205,0.9169985394159125,-0.1573162406300579,0.05426451640696424,0.0851636886391564,0.0,0.0,8.865812031502895
839,"251,44,12,214,195","694,15843,12337,13525,12743", fun shaft mobilityără Smartphone,0.13988543103756715,9.005341688319165,False,0.22790232503205524,0.18005561359006694,0.0019284204489656066,0.051401787408979514,0.3461655719672486,0.3697611145307847,0.17603378798897618,0.5036680489407432,0.8182877027210569,0.9077258462834601,-0.15750247697349462,0.010955508665003881,0.1192623309794294,0.0,0.0,8.87512384867473
840,"234,73,106,214,195","794,9472,14385,13525,12743", test problème Freundeără Smartphone,0.14709198193444642,9.007551161090502,False,0.23449706447126886,0.18800559232149294,0.0017561044381077752,0.055004103512126264,0.3337769768516599,0.36747540012388175,0.17481016507364489,0.4911711416610119,0.8195507973433344,0.9083996009060964,-0.15739416480935198,0.04635149470954305,0.09149142591335972,0.0,0.0,8.869708240467599
841,"35,44,195,214,91","14797,15843,12743,13525,21738",graphic shaft Smartphoneără bărbat,0.14691650010755894,9.00797506023216,False,0.23507778701491508,0.19351781609393043,0.0018174115446559337,0.05436217187851916,0.32344678746844174,0.3599040765929787,0.17632257381471228,0.48072347448770125,0.8179896012235228,0.9075667612827653,-0.1572766870192595,0.07586632151873782,0.0682743877504472,0.0,0.0,8.863834350962975
842,"234,240,195,229,122","794,16145,12743,3147,12759", test earthquake Smartphone 300 beneath,0.14586095925074016,9.01335356720621,False,0.23060716451610908,0.1780712982327098,0.001702888696646926,0.05680234665493333,0.3457716870672736,0.3691930134995108,0.16949241053073782,0.5034227941240159,0.8250400923553675,0.9113218912487849,-0.1576511070567423,0.012080894093503864,0.1187173202755909,0.0,0.0,8.882555352837114
843,"195,155,195,214,195","12743,31308,12743,13525,12743", Smartphone mănânc Smartphoneără Smartphone,0.12330272098567474,9.016362152917036,False,0.21484234359225152,0.1850593472532571,0.001888489892269607,0.049537546810194566,0.3268416619041214,0.3465086300698181,0.18307924521315355,0.4843202278949841,0.8110149726831963,0.9038366859045092,-0.15747856599086268,0.06616668027393881,0.0762671730999646,0.0,0.0,8.873928299543133
844,"0,185,195,214,195","30332,15058,12743,13525,12743",lucrareatient Smartphoneără Smartphone,0.15843691213916747,9.016740336593669,False,0.2393748860021722,0.2116109880531113,0.0020344798402995748,0.057661503586851064,0.31699651420230995,0.3235291099302936,0.16187594772600944,0.47436262416385816,0.8329022475086354,0.9154911535749488,-0.1573661099615482,0.0942956737076858,0.05413916480857366,0.0,0.0,8.86830549807741
845,"174,183,94,214,195","6031,23,18852,13525,12743",ttingikapără Smartphone,0.10883246883305323,9.023703708034223,False,0.2045590097066551,0.16912808464538368,0.0006329836242524812,0.049096733015637974,0.34321590178201994,0.358698742544244,0.19145308174720377,0.5010341296475023,0.8023710123899832,0.8991923699925374,-0.15781822786548233,0.019383137765657255,0.11340917699444945,0.0,0.0,8.890911393274116
846,"20,44,195,214,187","16297,15843,12743,13525,20719", Graphic shaft Smartphoneără apărut,0.15648039050604448,9.025973744775335,False,0.24185983160969174,0.18962350885174514,0.0018255810373706328,0.05194473617060979,0.3285679052207429,0.3646398632629458,0.17075888220729452,0.4862515107312827,0.8237327667537605,0.9106267719503449,-0.15768360551053978,0.06123455651216304,0.08055891273618375,0.0,0.0,8.884180275526989
